prompt,standard_latency,priority_latency
Explain the concept of recursion in programming and provide a Python example.,8.17774486541748,2.8477749824523926
Describe the process of photosynthesis in detail.,7.0126564502716064,3.325209856033325
Summarize the causes and consequences of World War I.,11.621978998184204,2.964216947555542
Explain how a blockchain works and its main applications.,6.549336671829224,2.7418911457061768
Describe the difference between supervised and unsupervised machine learning.,6.2458624839782715,3.036914825439453
Explain the theory of relativity in simple terms but with scientific accuracy.,6.312597990036011,2.6615567207336426
Provide a detailed explanation of how a CPU executes instructions.,5.690675973892212,2.7206594944000244
Explain the water cycle and its importance to Earth's ecosystem.,7.186496734619141,3.027256488800049
Describe the major themes and symbolism in Shakespeare's 'Macbeth'.,6.870488882064819,4.4810192584991455
Explain the principles of quantum computing and its potential impact on technology.,6.921681880950928,2.9095349311828613
